"","iso3c","lifeExpec","country","region","year"
"1","ARB",47.9777678739991,"Arab World","Aggregates",1962
"2","ARB",48.5608743856917,"Arab World","Aggregates",1963
"3","ARB",47.3972320560232,"Arab World","Aggregates",1961
"4","ARB",54.7803428294653,"Arab World","Aggregates",1974
"5","ARB",55.4052837540242,"Arab World","Aggregates",1975
"6","ARB",51.4039162539798,"Arab World","Aggregates",1968
"7","ARB",70.8275894931882,"Arab World","Aggregates",2014
"8","ARB",69.4456914432646,"Arab World","Aggregates",2007
"9","ARB",NA,"Arab World","Aggregates",2016
"10","ARB",53.0042959802404,"Arab World","Aggregates",1971
"11","ARB",66.8263099962888,"Arab World","Aggregates",1997
"12","ARB",46.8150450840796,"Arab World","Aggregates",1960
"13","ARB",54.1664816547246,"Arab World","Aggregates",1973
"14","ARB",69.6716376992643,"Arab World","Aggregates",2008
"15","ARB",49.1473947055277,"Arab World","Aggregates",1964
"16","ARB",49.7326572960955,"Arab World","Aggregates",1965
"17","ARB",68.20217114317,"Arab World","Aggregates",2002
"18","ARB",50.8640017381662,"Arab World","Aggregates",1967
"19","ARB",70.6313782768186,"Arab World","Aggregates",2013
"20","ARB",51.9327318634686,"Arab World","Aggregates",1969
"21","ARB",71.0284385361379,"Arab World","Aggregates",2015
"22","ARB",53.5723479500526,"Arab World","Aggregates",1972
"23","ARB",52.4610872735099,"Arab World","Aggregates",1970
"24","ARB",59.1024604598793,"Arab World","Aggregates",1981
"25","ARB",59.7580797909435,"Arab World","Aggregates",1982
"26","ARB",67.4345973858974,"Arab World","Aggregates",1999
"27","ARB",68.4482092252494,"Arab World","Aggregates",2003
"28","ARB",69.8792992431985,"Arab World","Aggregates",2009
"29","ARB",70.0713608299698,"Arab World","Aggregates",2010
"30","ARB",50.3067792815405,"Arab World","Aggregates",1966
"31","ARB",70.4406750515263,"Arab World","Aggregates",2012
"32","ARB",57.2518840931282,"Arab World","Aggregates",1978
"33","ARB",57.8557942001437,"Arab World","Aggregates",1979
"34","ARB",64.3192728132559,"Arab World","Aggregates",1990
"35","ARB",64.9815424704946,"Arab World","Aggregates",1992
"36","ARB",66.4841750394786,"Arab World","Aggregates",1996
"37","ARB",65.3456480580956,"Arab World","Aggregates",1993
"38","ARB",65.7133613741494,"Arab World","Aggregates",1994
"39","ARB",67.143209699416,"Arab World","Aggregates",1998
"40","ARB",67.7034743681906,"Arab World","Aggregates",2000
"41","ARB",68.698537558665,"Arab World","Aggregates",2004
"42","ARB",68.9518052402373,"Arab World","Aggregates",2005
"43","ARB",70.2556943131695,"Arab World","Aggregates",2011
"44","ARB",56.6459516617068,"Arab World","Aggregates",1977
"45","ARB",63.440542143462,"Arab World","Aggregates",1988
"46","ARB",67.9566832117218,"Arab World","Aggregates",2001
"47","ARB",63.8870326247726,"Arab World","Aggregates",1989
"48","ARB",64.687536877844,"Arab World","Aggregates",1991
